payout,asr,sharpe,sortino,std_dev,max_dd,smart_sharpe
lr,0.05070392483506494,2.7795408737326586,2.468555392325327,295.6326546603442,0.0205399177967414,-0.0,2.309473442855267
feature_intelligence1,0.050831636374025976,2.738894189602317,2.470847665168249,348.0393572074176,0.02057254969240067,-0.0,2.3388478405490907
feature_intelligence2,0.05073217442987014,2.982115647459632,2.5619626543095384,128.1005994783548,0.019802074142077106,-0.0,2.4593259756857333
feature_intelligence3,0.05067355601168831,2.9743958246413276,2.550732843782071,245.1766322933733,0.019866273386966178,-0.0,2.4584095154099153
feature_intelligence4,0.05042833035064935,2.705096593418779,2.4980356383644264,340.03305343695,0.020187194120123517,-0.0,2.317541163095089
feature_intelligence5,0.05062700007142858,2.8172707709386695,2.4414240860040195,209.18387488087504,0.02073666773489234,-0.0,2.307204080843547
feature_intelligence6,0.050856325470129866,2.782880267255697,2.4491610427306165,280.7479641700208,0.020764794385847808,-0.0,2.279129533764155
feature_intelligence7,0.050821084470129875,2.716680450164211,2.4216411031731435,209.7785453530765,0.020986216497373453,-0.0,2.2579189218795936
feature_intelligence8,0.05080531212337662,2.6808050850022527,2.4573249487830657,314.02616365405913,0.020675048348219798,-0.0,2.2800109551676924
feature_intelligence9,0.05106949689870131,2.9177251224147156,2.492543832456275,481.21154439376306,0.02048890624658541,-0.0,2.3064125680511465
feature_intelligence10,0.05103325337532469,2.9141323548092903,2.5006072087929536,830.6013301135138,0.020408344499637954,-0.0,2.301313510544381
feature_intelligence11,0.05065423825714286,2.7442277881188892,2.500394891382327,424.4423915034728,0.020258495340765553,-0.0,2.333000144759274
feature_intelligence12,0.05060811778441559,2.8368082100310335,2.4428546317597513,223.99224321522956,0.020716794657551597,-0.0,2.297591920532607
feature_charisma1,0.04880494882337664,2.551642815851085,2.3487933760392217,64.885910336436,0.02077873231474988,-0.0,2.1833392587340414
feature_charisma2,0.05038950397402598,2.5039442551580766,2.3833424563288044,138.96258975909313,0.02114236829047377,-0.0,2.248220906612259
feature_charisma3,0.050701806827272725,2.796913160663893,2.4555263637615097,686.2295219894933,0.0206480401006996,-0.0,2.289791549903292
feature_charisma4,0.05044558802337663,2.7158938395345285,2.4434516472952548,481.8826313446337,0.020645216400830634,-0.0,2.2943869956365672
feature_charisma5,0.05012199593636364,2.7928820586216028,2.461113928609112,inf,0.02036557322833481,-0.0,2.354946996700177
feature_charisma6,0.04842615478441558,2.700312835545066,2.3783402923536086,inf,0.020361322952861804,-0.0,2.27324229347918
feature_charisma7,0.05066483301558442,2.7462605714458586,2.4460832845546356,161.6635191446733,0.02071263612956216,-0.0,2.283174346239429
feature_charisma8,0.05070499164285715,2.771473046455205,2.4779942716624896,862.2436774383438,0.020462110111674755,-0.0,2.3862602439220044
feature_charisma9,0.04873263298051948,2.383805325600682,2.2442829900643417,37.00842755832423,0.02171412125666129,-0.0,2.096506032040448
feature_charisma10,0.049164786185714286,2.6655164171626295,2.4013095436803216,107.95797356051968,0.02047415599338468,-0.0,2.3397956702338756
feature_charisma11,0.04947387778701299,2.6785678773490105,2.385552459306712,148.01812351701992,0.020738960316718864,-0.0,2.2881913984936335
feature_charisma12,0.050527769875324674,2.8144592626266616,2.474209258764977,316.54757032286324,0.020421785140577013,-0.0,2.313239585332529
feature_charisma13,0.049803593996103894,2.5657748277792805,2.427027669822393,86.69468074184164,0.020520406345325457,-0.0,2.268785356610705
feature_charisma14,0.050264231127272734,2.7022643586199333,2.425919532834757,887.8598290206612,0.020719661327157676,-0.0,2.2782259163406087
feature_charisma15,0.05064859128441559,2.7843197171727008,2.4836906130621608,1023.5847474141639,0.020392472000355374,-0.0,2.392158929510384
feature_charisma16,0.04987315433896105,2.58847397275693,2.4235843224264864,88.30955858154694,0.020578262483984124,-0.0,2.295024499557215
feature_charisma17,0.05036837144025974,2.632447723286035,2.420920118591143,645.3196890473673,0.02080546609260766,-0.0,2.272180647696572
feature_charisma18,0.04858478708181819,2.4968411217592363,2.3290294183325595,81.37275085118684,0.02086052958343561,-0.0,2.2689604848547464
feature_charisma19,0.04855543475844156,2.4952203193826192,2.3008218051262808,62.39437042457092,0.02110351816479616,-0.0,2.125948467181712
feature_charisma20,0.05062711202987013,2.87698472986984,2.4738197152334283,297.6196460603832,0.020465158280579467,-0.0,2.3244075649368665
feature_charisma21,0.050113571338961035,2.5689867138218583,2.40693270554262,81.70542046898133,0.020820512024935657,-0.0,2.2274310556617025
feature_charisma22,0.05075092505584417,2.767790527708035,2.468507830782292,133.62634873481977,0.020559353477829865,-0.0,2.297021731618499
feature_charisma23,0.05042679941558442,2.8317386852723327,2.461339955343096,inf,0.020487539442130914,-0.0,2.3451843203198335
