payout,asr,sharpe,sortino,std_dev,max_dd,smart_sharpe
ex_FN100,0.03730488897674419,2.008043605625913,2.0255127765312624,8.767134970263255,0.018417503660791354,-0.008856743299999918,1.8073641458965266
feature_intelligence1,0.0374227715744186,1.9044082197109962,1.9555836669253244,7.748093466810955,0.019136369467258198,-0.01095820270000005,1.7662368957616004
feature_intelligence2,0.037230007516279064,1.916888653848819,1.953161239956588,7.764310500204797,0.019061410166580285,-0.01088408930000006,1.7573328577467753
feature_intelligence3,0.03723052562790698,1.926445390363158,1.9494704073868452,7.844779708859633,0.019097763929544532,-0.010444942999999983,1.748610999609495
feature_intelligence4,0.037335786123255825,1.9245352707190515,1.9544674678494571,7.941023521980767,0.019102792314234424,-0.010258375000000076,1.755792926246653
feature_intelligence5,0.037258067400000004,1.909116894779395,1.9577251665520494,7.699336801279164,0.019031306353188997,-0.010939427300000037,1.775884029128597
feature_intelligence6,0.037281903753488374,1.913759616022207,1.9564118185345687,7.699727068122358,0.0190562658640112,-0.01089199470000007,1.7432137380507406
feature_intelligence7,0.03731609144418605,1.9066911239513606,1.9486824008558792,7.7096681877713165,0.01914939624219754,-0.01089495929999994,1.753542624735875
feature_intelligence8,0.0372449729255814,1.9030374774147834,1.9432304571814163,7.629285868084544,0.019166523861304567,-0.010974211099999966,1.7689112203421482
feature_intelligence9,0.03724069351860466,1.9070883783899069,1.964513962855223,7.719306522785078,0.018956695764319773,-0.010682105700000045,1.7622026454547635
feature_intelligence10,0.03727705837441861,1.905209608892405,1.9550610663873838,7.640396950524515,0.01906695346519288,-0.011154257199999964,1.753710920158882
feature_intelligence11,0.03725539013255814,1.9051301842432744,1.9486184387746632,7.663324612421915,0.01911887386018229,-0.01076708899999995,1.748723819877162
feature_intelligence12,0.037252822139534875,1.9126708113671436,1.9558837767687873,7.6951671771933,0.019046541815014337,-0.010958597899999993,1.7691914289650361
feature_charisma1,0.037286649416279065,1.909581799613272,1.945172436282465,7.70769299979273,0.019168814404721776,-0.011133703099999918,1.7433584416183976
feature_charisma2,0.03731197934651163,1.9079735425195452,1.9518635467223588,7.764001177509062,0.019116079814681348,-0.010752463999999967,1.7537349339638288
feature_charisma3,0.03725155715813954,1.9040350210988475,1.9474346493632133,7.657888777402335,0.019128527455501695,-0.010972630100000077,1.748147950616437
feature_charisma4,0.0372131407627907,1.8946722333868884,1.9358356519595066,7.610771265872263,0.019223295492632613,-0.010922628299999987,1.7540187721798661
feature_charisma5,0.037281122165116275,1.9147646890053953,1.953429070510737,7.773742533633441,0.019084963323172454,-0.010875590999999924,1.7579945128756072
feature_charisma6,0.037324789325581406,1.908716754947217,1.945277280418069,7.672430427900171,0.01918738768056745,-0.011008797400000136,1.7444716528492026
feature_charisma7,0.03724235687674419,1.9098225417297892,1.958731451126415,7.733740597193755,0.01901350838846596,-0.010740803500000009,1.7556145688176235
feature_charisma8,0.03710805947209302,1.8940194518430573,1.940588999991695,7.623621689874342,0.019122060092194602,-0.010954052300000055,1.7391500684961465
feature_charisma9,0.03730221511627907,1.9082208982408209,1.9546490849370168,7.703034067601305,0.019083842416390065,-0.010911758299999947,1.7504621662497155
feature_charisma10,0.037213972025581396,1.9075340312654103,1.9460982112677274,7.595785597424552,0.019122350460072345,-0.011342603900000005,1.7451561318569735
feature_charisma11,0.03725721721860465,1.896730720274049,1.9475617516272796,7.617790454411601,0.019130185313751664,-0.011173032600000032,1.7545031042181307
feature_charisma12,0.037278736118604654,1.8980946457681322,1.9594410592363636,7.6190038904453905,0.019025188812330483,-0.011208014100000139,1.7613568765229075
feature_charisma13,0.03721049097209302,1.9096967351193526,1.9445856729791005,7.67619481751901,0.0191354340871424,-0.010073585700000108,1.7349715892786788
feature_charisma14,0.03723266698604651,1.912436940794482,1.950439189483904,7.691372334186507,0.019089375965573408,-0.010889030199999898,1.7571115631963217
feature_charisma15,0.03720187719302326,1.897807919555721,1.9530540270050634,7.659350002910247,0.019048053294291593,-0.010961364800000086,1.752329842318997
feature_charisma16,0.03722743840930232,1.9108306432180027,1.9489628140038215,7.753125321734017,0.019101153773593407,-0.010704240899999943,1.7520739962752987
feature_charisma17,0.03723326267209303,1.9043628541784439,1.943912443944067,7.670685433921287,0.019153775566428936,-0.010816695600000011,1.7580245253009046
feature_charisma18,0.03723797760930233,1.9165232915859158,1.9475986119364135,7.7266110594753785,0.019119944623639987,-0.01091017719999999,1.7552870813239327
feature_charisma19,0.03730981231162791,1.9124308057314343,1.9541948627014867,7.739657314742388,0.019092165793564046,-0.010900097799999967,1.7547131143469725
feature_charisma20,0.03736436865348837,1.9127220310867974,1.954846203310151,7.781667820509897,0.019113712674797174,-0.01077202990000012,1.7594538073494688
feature_charisma21,0.03715331025581395,1.9189772593168162,1.9421701681078234,7.70189288774653,0.019129791439444717,-0.010774599200000044,1.7391574440851847
feature_charisma22,0.037286667502325586,1.9236410253376774,1.9589082108246594,7.807540579434602,0.01903441278988191,-0.010851281800000015,1.7631215663940047
feature_charisma23,0.03729123236511628,1.9133897522983148,1.9483008400410176,7.755879264559781,0.019140387151057835,-0.010740408199999912,1.7462862081962385
feature_charisma24,0.03735017683255814,1.9081728443376589,1.9564906445663757,7.753068003029975,0.019090393780460013,-0.010886658600000047,1.752807339936198
feature_charisma25,0.03734827241162791,1.9173940523594721,1.9530586783201689,7.757366783845634,0.019122964827534655,-0.010841004800000019,1.7533577654375276
feature_charisma26,0.03726762929069768,1.9060525431742892,1.953876581267935,7.684940899020446,0.019073686459005246,-0.010960771900000069,1.76750684273015
feature_charisma27,0.03732232204883721,1.9034094224077804,1.9496366899801345,7.6842050680637515,0.019143218960050192,-0.010999706099999904,1.744645793676147
feature_charisma28,0.03723563839534884,1.8960856776983341,1.9436130531233955,7.543252450238466,0.019157948304324768,-0.01131157510000013,1.7559030895172067
feature_charisma29,0.03722367076744186,1.9027177866663212,1.9508468623293962,7.668234580397829,0.01908077537310908,-0.011120856799999915,1.7489813244442438
feature_charisma30,0.037320459397674415,1.9110693023915148,1.9491524176490789,7.716227123563749,0.019147019524869968,-0.010914920499999882,1.7562904022436325
feature_charisma31,0.03723406240000001,1.9143810752457864,1.9518765938602771,7.7440307934601575,0.019076033042827383,-0.01087203349999989,1.752268850294884
feature_charisma32,0.03724635080465117,1.9012585923856833,1.9420036331796613,7.566554942557766,0.0191793414637785,-0.011265723700000006,1.7432587543454061
feature_charisma33,0.0372377966627907,1.910094052816134,1.947189463858571,7.668286963804432,0.019123869224826173,-0.01092796440000003,1.758581177773685
feature_charisma34,0.03724570613023256,1.9016851592940456,1.9495928081943175,7.626467949110023,0.019104351418247664,-0.011051684299999968,1.748497035538245
feature_charisma35,0.03724038318139535,1.905316877717169,1.9506699623589434,7.710116741620766,0.019091073272262105,-0.011010971400000019,1.7517835886941724
feature_charisma36,0.03714487819069767,1.8885746702313766,1.9418172060960903,7.452178620926706,0.019128926283115636,-0.011533915199999993,1.7422918163223975
feature_charisma37,0.03722680571395349,1.9072241243152155,1.953364018442807,7.693186754169508,0.01905779228166092,-0.0107860621000001,1.75292289077523
feature_charisma38,0.03732051819534884,1.9089646805490355,1.9494972221891373,7.715365792328732,0.01914366318175141,-0.010899307299999942,1.7534672183118094
feature_charisma39,0.037245391467441866,1.9092591462385582,1.9518618288893184,7.719222219614412,0.01908198158095846,-0.010822822300000071,1.7540303162481037
feature_charisma40,0.037314791813953495,1.9114459052362753,1.9497451260440966,7.742522348903748,0.01913829213650234,-0.010875195700000026,1.7587151498799258
feature_charisma41,0.03729023789767442,1.919140387021002,1.9562613204838444,7.722772589348884,0.01906199213122068,-0.010901283599999938,1.7514528851396194
feature_charisma42,0.03722083311395349,1.9149675904141763,1.9509578540596841,7.7439850399567,0.019078235358340457,-0.010698509500000002,1.7561836656284293
feature_charisma43,0.037312044437209306,1.9083091776560415,1.9396456284853183,7.7214005853831145,0.019236526450631355,-0.01070028820000007,1.7448667427059545
feature_charisma44,0.03729293139534884,1.9157050150566324,1.9538397825204628,7.727913440092084,0.019086995632385362,-0.010875986299999984,1.7610244913056627
feature_charisma45,0.03722535858372093,1.9045746556784193,1.948536466618933,7.658012513860183,0.019104265802278638,-0.010934091099999948,1.7464375965131027
feature_charisma46,0.03722819529767442,1.8939243770515168,1.9428323916130952,7.541613539037425,0.01916181522316734,-0.011143584899999944,1.747244728486866
feature_charisma47,0.03736653271627907,1.9222908032458204,1.9545600988146243,7.825399676772802,0.019117617687448255,-0.010636451900000019,1.7565556209384976
feature_charisma48,0.03731761292790698,1.9023263392525998,1.9500844719273462,7.625131394818957,0.019136408430053542,-0.011431935199999887,1.7524488982438597
feature_charisma49,0.03725644888604651,1.9011540658442903,1.9521005785769572,7.644659583537932,0.019085312147802205,-0.011161767299999953,1.755644198880719
