mean,std
feature_charisma1,-6.925574045240174e-05,0.00012008666843706589
feature_charisma10,8.154493084309336e-05,0.0002153261816317565
feature_charisma11,-0.00011366382524740043,0.0002153969186067677
feature_charisma12,-8.704638562251613e-05,0.00013131113617971573
feature_charisma13,0.00047790891604914434,0.00036802094716686983
feature_charisma14,6.564349742119e-05,0.0003458171870404732
feature_charisma15,0.0005613726793239198,0.0004938002522255031
feature_charisma16,0.0017860709406256356,0.00045299415823125776
feature_charisma17,0.00015927160475207212,8.684244213572719e-05
feature_charisma18,0.0001833519745930304,6.642969707963048e-05
feature_charisma19,-6.925574045240174e-05,0.00012008666843706589
feature_charisma2,1.3241106871987298e-05,0.00010455646667113923
feature_charisma20,-0.00032743796364540753,0.00016057121798115865
feature_charisma21,-6.649982485844532e-05,0.000139379085935226
feature_charisma22,0.0008145685300700558,0.00039271581427821904
feature_charisma23,-0.0001481866628670488,0.0001568445399549346
feature_charisma24,1.3241106871987298e-05,0.00010455646667113923
feature_charisma25,-0.00024378137506489702,0.0005031778048902015
feature_charisma26,4.166972330283774e-05,0.00012045260327410735
feature_charisma27,-4.03037391430379e-05,6.326330178931377e-05
feature_charisma28,0.000382534471926898,1.5044080307458193e-05
feature_charisma29,-0.00011194840200849372,0.00027045907186768197
feature_charisma3,0.0001422214235966986,9.664792310600232e-05
feature_charisma30,-0.00018862086056588114,7.277656492642375e-05
feature_charisma31,-0.0005334894023270572,0.0004023572436045449
feature_charisma32,0.00038943498259511776,0.00011981667867645501
feature_charisma33,6.564349742119e-05,0.0003458171870404732
feature_charisma34,0.00024062616162631042,0.00011693529869315417
feature_charisma35,0.0017860709406256356,0.00045299415823125776
feature_charisma36,-6.649982485844532e-05,0.000139379085935226
feature_charisma37,0.0005437364609023196,0.00017704141669992176
feature_charisma38,-0.00018862086056588114,7.277656492642375e-05
feature_charisma39,-0.0001481866628670488,0.0001568445399549346
feature_charisma4,0.00015927160475207212,8.684244213572719e-05
feature_charisma40,0.00021477949433011703,0.00011290830510309905
feature_charisma41,-0.00022056681510951304,0.000348239318111422
feature_charisma42,0.0011851684515376774,0.00023853317129151748
feature_charisma43,0.00014890275461855766,0.00013160442605410328
feature_charisma44,-6.391975198232437e-05,0.00018853543670097482
feature_charisma45,0.0001422214235966986,9.664792310600232e-05
feature_charisma46,0.00015050576133441247,0.00010937840172321446
feature_charisma47,-0.00024378137506489702,0.0005031778048902015
feature_charisma48,0.00038943498259511776,0.00011981667867645501
feature_charisma49,-0.00036493256952314386,0.00092469492773607
feature_charisma5,0.0008869111102576661,0.00032544185812023605
feature_charisma50,0.00047790891604914434,0.00036802094716686983
feature_charisma51,-0.0005334894023270572,0.0004023572436045449
feature_charisma52,0.0006835329374030629,0.00025458429677077666
feature_charisma53,0.000382534471926898,1.5044080307458193e-05
feature_charisma54,0.0003020244590718877,0.00018453288394888436
feature_charisma55,0.00024062616162631042,0.00011693529869315417
feature_charisma56,-0.0004454067950005942,0.0005748024532160863
feature_charisma57,0.00014341120684673614,5.3184700635407206e-05
feature_charisma58,-0.00011366382524740043,0.0002153969186067677
feature_charisma59,-0.00022056681510951304,0.000348239318111422
feature_charisma6,0.0003020244590718877,0.00018453288394888436
feature_charisma60,0.0008145685300700558,0.00039271581427821904
feature_charisma61,0.00021477949433011703,0.00011290830510309905
feature_charisma62,0.0006835329374030629,0.00025458429677077666
feature_charisma63,0.0022787245133004536,0.0005485004646032743
feature_charisma64,-0.00032743796364540753,0.00016057121798115865
feature_charisma65,-0.0004454067950005942,0.0005748024532160863
feature_charisma66,0.00015050576133441247,0.00010937840172321446
feature_charisma67,4.166972330283774e-05,0.00012045260327410735
feature_charisma68,-0.00011716565022705358,0.00012963213104282757
feature_charisma69,0.00040119059660510993,0.0002751809226950365
feature_charisma7,4.744385803006864e-05,0.00015198549852348935
feature_charisma70,4.249326356980267e-05,0.00015486042021003972
feature_charisma71,-0.00011194840200849372,0.00027045907186768197
feature_charisma72,4.744385803006864e-05,0.00015198549852348935
feature_charisma73,-0.00036493256952314386,0.00092469492773607
feature_charisma74,-6.391975198232437e-05,0.00018853543670097482
feature_charisma75,0.0011851684515376774,0.00023853317129151748
feature_charisma76,0.0003204671785891484,6.49928817515334e-05
feature_charisma77,-4.03037391430379e-05,6.326330178931377e-05
feature_charisma78,8.154493084309336e-05,0.0002153261816317565
feature_charisma79,0.0008869111102576661,0.00032544185812023605
feature_charisma8,0.0005613726793239198,0.0004938002522255031
feature_charisma80,-8.704638562251613e-05,0.00013131113617971573
feature_charisma81,4.833566789206176e-05,0.00010005795089134916
feature_charisma82,-0.00011716565022705358,0.00012963213104282757
feature_charisma83,0.00014341120684673614,5.3184700635407206e-05
feature_charisma84,-0.00015834304633692074,0.0001579095373206374
feature_charisma85,0.00016743037029986967,7.300862338056638e-05
feature_charisma86,-0.00015834304633692074,0.0001579095373206374
feature_charisma9,0.00040119059660510993,0.0002751809226950365
feature_constitution1,0.0005902979055709231,0.0004793041823811056
feature_constitution10,0.000760212153598548,0.00021144955099722105
feature_constitution100,6.823289535233559e-05,6.170641313718722e-05
feature_constitution101,-0.0004861297193160037,8.195511609071014e-05
feature_constitution102,5.501148529234655e-05,0.00019929538678611493
feature_constitution103,-0.00011337008785745678,3.41837623342536e-05
feature_constitution104,-0.00028545317780661667,0.0002709781870086535
feature_constitution105,1.581067358416957e-05,0.00011095431498685852
feature_constitution106,-1.2246060441053527e-05,9.829049170013847e-05
feature_constitution107,0.0001616100547677679,0.00045366600129341126
feature_constitution108,-0.0003332321825151179,3.1840354125129225e-05
feature_constitution109,0.00023832353500927565,6.746924342649679e-05
feature_constitution11,0.0001663496744811449,0.00010777950115911567
feature_constitution110,5.501148529234655e-05,0.00019929538678611493
feature_constitution111,0.0007186600669909092,5.021832817240907e-05
feature_constitution112,0.00011635195707280176,2.0941564392227535e-05
feature_constitution113,0.00025001850519571633,5.859874573759304e-05
feature_constitution114,0.0007186600669909092,5.021832817240907e-05
